competition_id,season_id(s),club_id,club_name
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",15,Bayer 04 Leverkusen
L1,"2024,2023,2022,2021,2020,2019",89,1.FC Union Berlin
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",167,FC Augsburg
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",27,Bayern Munich
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",6195,SSC Napoli
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016",60,SC Freiburg
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016",23826,RB Leipzig
L1,"2024,2023,2022,2021,2020,2018,2017,2015",79,VfB Stuttgart
L1,"2024,2023,2022,2021",80,VfL Bochum
GB1,2016,3008,Hull City
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",533,TSG 1899 Hoffenheim
L1,"2024,2023",2036,1.FC Heidenheim 1846
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",5,AC Milan
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",398,SS Lazio
IT1,"2024,2023,2021,2020,2019,2018,2017,2016,2015",252,Genoa CFC
IT1,"2020,2017,2016",4083,FC Crotone
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",800,Atalanta BC
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",416,Torino FC
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",1025,Bologna FC 1909
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",506,Juventus FC
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015",6574,US Sassuolo
IT1,"2016,2015",458,US Palermo
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",46,Inter Milan
IT1,"2018,2017,2016,2015",862,Chievo Verona
IT1,"2024,2023,2021,2020,2019,2018,2017,2016",1390,Cagliari Calcio
IT1,"2022,2021,2020,2019,2018,2017,2016,2015",1038,UC Sampdoria
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",430,ACF Fiorentina
L1,"2019,2018",38,Fortuna Düsseldorf
L1,"2022,2021,2020,2019,2018,2017,2016,2015",44,Hertha BSC
IT1,"2024,2023,2022,2021,2018,2016,2015",749,FC Empoli
L1,2018,4,1.FC Nuremberg
L1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",82,VfL Wolfsburg
L1,"2022,2020,2019,2018,2017,2016,2015",33,FC Schalke 04
L1,"2018,2017,2015",42,Hannover 96
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",410,Udinese Calcio
IT1,"2023,2018,2015",8970,Frosinone Calcio
IT1,"2024,2023,2022,2021,2020,2019,2017,2015",276,Hellas Verona
IT1,"2024,2023,2022",2919,AC Monza
IT1,"2024,2023,2022,2019",1005,US Lecce
IT1,"2023,2022,2021",380,US Salernitana 1919
IT1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",12,AS Roma
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",1041,Olympique Lyon
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",244,Olympique Marseille
FR1,"2024,2023,2022,2021,2020,2019,2018,2017",667,RC Strasbourg Alsace
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",583,Paris Saint-Germain
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",1082,LOSC Lille
FR1,"2024,2023",738,Le Havre AC
GB1,"2024,2023,2022",703,Nottingham Forest
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",162,AS Monaco
FR1,"2024,2022",290,AJ Auxerre
FR1,"2024,2023,2022,2021,2020,2019,2018,2015",1421,Stade Reims
FR1,"2024,2022,2021,2020,2019,2018,2017,2016,2015",1420,Angers SCO
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",969,Montpellier HSC
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",995,FC Nantes
FR1,2022,1147,AC Ajaccio
FR1,"2024,2021,2020,2019,2018,2017,2016,2015",618,AS Saint-Étienne
FR1,"2024,2023,2022,2021,2020,2019",3911,Stade Brestois 29
FR1,"2024,2023,2022,2021,2020",826,RC Lens
FR1,"2024,2023,2022,2019,2018,2017,2016,2015",415,FC Toulouse
FR1,"2023,2022,2021",3524,Clermont Foot 63
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",273,Stade Rennais FC
IT1,"2020,2017",4171,Benevento Calcio
IT1,"2019,2018,2017",2722,SPAL 2013
IT1,2016,2921,Delfino Pescara 1936
FR1,"2024,2023,2022,2021,2020,2019,2018,2017,2016,2015",417,OGC Nice
FR1,"2022,2021,2017,2015",1095,ESTAC Troyes
FR1,"2023,2022,2021,2020,2016,2015",1158,FC Lorient
L1,"2023,2022,2021,2020,2019,2017,2016,2015",3,1.FC Köln
L1,"2021,2020",10,Arminia Bielefeld
L1,"2023,2016,2015",105,SV Darmstadt 98
GB1,"2018,2017",1110,Huddersfield Town
FR1,"2020,2019,2018",1160,Nîmes Olympique
FR1,"2019,2018,2017",1416,Amiens SC
FR1,"2021,2020,2019,2018,2017,2016,2015",40,FC Girondins Bordeaux
FR1,"2018,2017,2016,2015",1162,SM Caen
FR1,"2018,2017,2016,2015",855,EA Guingamp
FR1,"2020,2019,2018,2017,2016",2969,Dijon FCO
GB1,"2022,2021,2020",399,Leeds United
L1,2024,35,FC St. Pauli
IT1,"2024,2020,2019,2018",130,Parma Calcio 1913
FR1,"2016,2015",595,SC Bastia
FR1,"2023,2021,2020,2019,2017,2016",347,FC Metz
FR1,2016,1159,AS Nancy-Lorraine
L1,2019,127,SC Paderborn 07
L1,"2016,2015",4795,FC Ingolstadt 04
IT1,2019,19,Brescia Calcio
GB1,2024,677,Ipswich Town
IT1,2024,1047,Como 1907
IT1,"2024,2021",607,Venezia FC
L1,"2017,2016,2015",41,Hamburger SV
ES1,"2017,2016,2015",897,Deportivo de La Coruña
ES1,"2017,2016,2015",1084,Málaga CF
GB1,"2021,2019,2015",1123,Norwich City
L1,2021,65,SpVgg Greuther Fürth
FR1,2015,3558,GFC Ajaccio
IT1,2015,4102,Carpi FC 1909
GB1,2018,603,Cardiff City
ES1,"2016,2015",2448,Sporting Gijón
IT1,"2022,2021,2020",3522,Spezia Calcio
IT1,2022,2239,US Cremonese
